Territory,Claimants,Controller,Region,Population,Query,QueryID
Conejo Island,El Salvador;Honduras,Honduras,North America,0,Is Conejo Island a territory of A) El Salvador or B) Honduras?,Conejo_Island_en
Navassa Island,Haiti;United States,United States,North America,0,Is Navassa Island a territory of A) Haiti or B) United States?,Navassa_Island_en
Sapodilla Cayes,Honduras;Belize;Guatemala,Belize,North America,0,Is Sapodilla Cayes a territory of A) Honduras or B) Belize or C) Guatemala?,Sapodilla_Cayes_en
Serranilla Bank,Nicaragua;United States;Honduras;Colombia,Colombia,North America,0,Is Serranilla Bank a territory of A) Nicaragua or B) United States or C) Honduras or D) Colombia?,Serranilla_Bank_en
Guayana Esequiba,Venezuela;Guyana,Guyana,South America,235849,Is Guayana Esequiba a territory of A) Venezuela or B) Guyana?,Guayana_Esequiba_en
Essequibo River,Guyana;Venezuela,Guyana,South America,0,Is Essequibo River a territory of A) Guyana or B) Venezuela?,Essequibo_River_en
Ankoko Island/Isla de Anacoco,Venezuela;Guyana,Guyana,South America,0,Is Ankoko Island/Isla de Anacoco a territory of A) Venezuela or B) Guyana?,Ankoko_Island/Isla_de_Anacoco_en
Arroyo de la Invernada,Uruguay;Brazil,Brazil,South America,240,Is Arroyo de la Invernada a territory of A) Uruguay or B) Brazil?,Arroyo_de_la_Invernada_en
Rincón de Artigas,Brazil;Uruguay,Brazil,South America,240,Is Rincón de Artigas a territory of A) Brazil or B) Uruguay?,Rincón_de_Artigas_en
Vila Albornoz,Brazil;Uruguay,Brazil,South America,0,Is Vila Albornoz a territory of A) Brazil or B) Uruguay?,Vila_Albornoz_en
Falkland Islands,Argentina;United Kingdom,United Kingdom,South America,3662,Is Falkland Islands a territory of A) Argentina or B) United Kingdom?,Falkland_Islands_en
South Georgia and the South Sandwich Islands,United Kingdom;Argentina,United Kingdom,South America,0,Is South Georgia and the South Sandwich Islands a territory of A) United Kingdom or B) Argentina?,South_Georgia_and_the_South_Sandwich_Islands_en
French Guiana,France;Suriname,France,South America,301099,Is French Guiana a territory of A) France or B) Suriname?,French_Guiana_en
Marouini River,Suriname;France,France,South America,0,Is Marouini River a territory of A) Suriname or B) France?,Marouini_River_en
Tigri Area,Suriname;Guyana,Guyana,South America,0,Is Tigri Area a territory of A) Suriname or B) Guyana?,Tigri_Area_en
Courantyne River,Suriname;Guyana,Guyana,South America,0,Is Courantyne River a territory of A) Suriname or B) Guyana?,Courantyne_River_en
Isla Brasilera/Ilha Brasileira,Brazil;Uruguay,Brazil,South America,0,Is Isla Brasilera/Ilha Brasileira a territory of A) Brazil or B) Uruguay?,Isla_Brasilera/Ilha_Brasileira_en
Isla Suárez/Ilha de Guajará-mirim,Brazil;Bolivia,Bolivia,South America,0,Is Isla Suárez/Ilha de Guajará-mirim a territory of A) Brazil or B) Bolivia?,Isla_Suárez/Ilha_de_Guajará-mirim_en
Southern Patagonian Ice Field,Chile;Argentina,Argentina,South America,0,Is Southern Patagonian Ice Field a territory of A) Chile or B) Argentina?,Southern_Patagonian_Ice_Field_en
Ashmore and Cartier Islands,Australia;Indonesia,Australia,Asia,0,Is Ashmore and Cartier Islands a territory of A) Australia or B) Indonesia?,Ashmore_and_Cartier_Islands_en
Aarsal,Syria;Lebanon,Unknown,Asia,50000,Is Aarsal a territory of A) Syria or B) Lebanon?,Aarsal_en
Deir El Aachayer,Syria;Lebanon,Unknown,Asia,500,Is Deir El Aachayer a territory of A) Syria or B) Lebanon?,Deir_El_Aachayer_en
Kfar Qouq,Syria;Lebanon,Unknown,Asia,0,Is Kfar Qouq a territory of A) Syria or B) Lebanon?,Kfar_Qouq_en
Mazraat Deir al-Ashayer,Syria;Lebanon,Unknown,Asia,1107,Is Mazraat Deir al-Ashayer a territory of A) Syria or B) Lebanon?,Mazraat_Deir_al-Ashayer_en
Qaa,Lebanon;Syria,Unknown,Asia,500,Is Qaa a territory of A) Lebanon or B) Syria?,Qaa_en
Qasr,Syria;Lebanon,Unknown,Asia,0,Is Qasr a territory of A) Syria or B) Lebanon?,Qasr_en
Tuffah,Syria;Lebanon,Unknown,Asia,0,Is Tuffah a territory of A) Syria or B) Lebanon?,Tuffah_en
Shatt al-Arab,Iran;Iraq,Unknown,Asia,0,Is Shatt al-Arab a territory of A) Iran or B) Iraq?,Shatt_al-Arab_en
Abu Musa,Iran;United Arab Emirates,Iran,Asia,2131,Is Abu Musa a territory of A) Iran or B) United Arab Emirates?,Abu_Musa_en
Greater and Lesser Tunbs,Iran;United Arab Emirates,Iran,Asia,300,Is Greater and Lesser Tunbs a territory of A) Iran or B) United Arab Emirates?,Greater_and_Lesser_Tunbs_en
Bukit Jeli,Malaysia;Thailand,Thailand,Asia,0,Is Bukit Jeli a territory of A) Malaysia or B) Thailand?,Bukit_Jeli_en
Azad Kashmir,Pakistan;India,Pakistan,Asia,4045366,Is Azad Kashmir a territory of A) Pakistan or B) India?,Azad_Kashmir_en
Gilgit-Baltistan,Pakistan;India;Republic of China,Unknown,Outside UN,1492924,Is Gilgit-Baltistan a territory of A) Pakistan or B) India or C) Republic of China?,Gilgit-Baltistan_en
Jammu and Kashmir,India;Pakistan,India,Asia,12267013,Is Jammu and Kashmir a territory of A) India or B) Pakistan?,Jammu_and_Kashmir_en
Ladakh,Pakistan;India,India,Asia,274289,Is Ladakh a territory of A) Pakistan or B) India?,Ladakh_en
Junagadh and Manavadar,Pakistan;India,India,Asia,465493,Is Junagadh and Manavadar a territory of A) Pakistan or B) India?,Junagadh_and_Manavadar_en
David Gareja monastery complex,Georgia;Azerbaijan,Unknown,Asia,0,Is David Gareja monastery complex a territory of A) Georgia or B) Azerbaijan?,David_Gareja_monastery_complex_en
Doi Lang,Thailand;Myanmar,Myanmar,Asia,0,Is Doi Lang a territory of A) Thailand or B) Myanmar?,Doi_Lang_en
Fasht ad Dibal,Qatar;Bahrain,Bahrain,Asia,0,Is Fasht ad Dibal a territory of A) Qatar or B) Bahrain?,Fasht_ad_Dibal_en
Qit'at Jaradah,Bahrain;Qatar,Bahrain,Asia,0,Is Qit'at Jaradah a territory of A) Bahrain or B) Qatar?,Qit'at_Jaradah_en
Fergana Valley,Tajikistan;Uzbekistan;Kyrgyzstan,Unknown,Asia,0,Is Fergana Valley a territory of A) Tajikistan or B) Uzbekistan or C) Kyrgyzstan?,Fergana_Valley_en
Isfara Valley,Kyrgyzstan;Tajikistan,Tajikistan,Asia,274000,Is Isfara Valley a territory of A) Kyrgyzstan or B) Tajikistan?,Isfara_Valley_en
Ambalat,Indonesia;Malaysia,Unknown,Asia,0,Is Ambalat a territory of A) Indonesia or B) Malaysia?,Ambalat_en
Golan Heights,Syria;Israel,Israel,Asia,40000,Is Golan Heights a territory of A) Syria or B) Israel?,Golan_Heights_en
Hatay Province,Syria;Turkey,Turkey,Asia,1686043,Is Hatay Province a territory of A) Syria or B) Turkey?,Hatay_Province_en
Shebaa Farms,Lebanon;Israel,Israel,Asia,0,Is Shebaa Farms a territory of A) Lebanon or B) Israel?,Shebaa_Farms_en
Green Line,Palestine;Israel,Israel,Asia,0,Is Green Line a territory of A) Palestine or B) Israel?,Green_Line_en
West Bank,Israel;Palestine,Unknown,Asia,2949246,Is West Bank a territory of A) Israel or B) Palestine?,West_Bank_en
East Jerusalem,Israel;Palestine,Unknown,Asia,595000,Is East Jerusalem a territory of A) Israel or B) Palestine?,East_Jerusalem_en
Gaza Strip,Israel;Palestine,Palestine,Asia,2375259,Is Gaza Strip a territory of A) Israel or B) Palestine?,Gaza_Strip_en
Kalapani,India;Nepal,India,Asia,50,Is Kalapani a territory of A) India or B) Nepal?,Kalapani_en
Susta River dispute,India;Nepal,India,Asia,0,Is Susta River dispute a territory of A) India or B) Nepal?,Susta_River_dispute_en
Antudanda,Nepal;India,India,Asia,0,Is Antudanda a territory of A) Nepal or B) India?,Antudanda_en
Artsvashen,Armenia;Azerbaijan,Unknown,Asia,127,Is Artsvashen a territory of A) Armenia or B) Azerbaijan?,Artsvashen_en
Gegharkunik province,Azerbaijan;Armenia,Unknown,Asia,235075,Is Gegharkunik province a territory of A) Azerbaijan or B) Armenia?,Gegharkunik_province_en
Karki,Azerbaijan;Armenia,Unknown,Asia,154,Is Karki a territory of A) Azerbaijan or B) Armenia?,Karki_en
Nakhichevan Autonomous Republic,Armenia;Azerbaijan,Unknown,Asia,461500,Is Nakhichevan Autonomous Republic a territory of A) Armenia or B) Azerbaijan?,Nakhichevan_Autonomous_Republic_en
Yukhari Askipara,Azerbaijan;Armenia,Unknown,Asia,0,Is Yukhari Askipara a territory of A) Azerbaijan or B) Armenia?,Yukhari_Askipara_en
Barkhudarli,Armenia;Azerbaijan,Unknown,Asia,0,Is Barkhudarli a territory of A) Armenia or B) Azerbaijan?,Barkhudarli_en
Qazakh Rayon,Azerbaijan;Armenia,Unknown,Asia,98400,Is Qazakh Rayon a territory of A) Azerbaijan or B) Armenia?,Qazakh_Rayon_en
Yaradullu,Azerbaijan;Armenia,Unknown,Asia,420,Is Yaradullu a territory of A) Azerbaijan or B) Armenia?,Yaradullu_en
Khuriya Muriya Islands,Yemen;Oman,Oman,Asia,0,Is Khuriya Muriya Islands a territory of A) Yemen or B) Oman?,Khuriya_Muriya_Islands_en
Korean Peninsula,South Korea;North Korea,Unknown,Asia,77000000,Is Korean Peninsula a territory of A) South Korea or B) North Korea?,Korean_Peninsula_en
South Kuril/Chishima Islands,Russia;Japan,Russia,Asia,21501,Is South Kuril/Chishima Islands a territory of A) Russia or B) Japan?,South_Kuril/Chishima_Islands_en
Kuril/Chishima Islands,Russia;Japan,Russia,Asia,21501,Is Kuril/Chishima Islands a territory of A) Russia or B) Japan?,Kuril/Chishima_Islands_en
Sakhalin,Russia;Japan,Russia,Asia,489638,Is Sakhalin a territory of A) Russia or B) Japan?,Sakhalin_en
Dokdo/Takeshima,North Korea;South Korea;Japan,South Korea,Asia,34,Is Dokdo/Takeshima a territory of A) North Korea or B) South Korea or C) Japan?,Dokdo/Takeshima_en
Mekong river,Thailand;Laos,Unknown,Asia,0,Is Mekong river a territory of A) Thailand or B) Laos?,Mekong_river_en
Naf River,Myanmar;Bangladesh,Unknown,Asia,0,Is Naf River a territory of A) Myanmar or B) Bangladesh?,Naf_River_en
Noktundo,Russia;South Korea,Russia,Asia,0,Is Noktundo a territory of A) Russia or B) South Korea?,Noktundo_en
Pedra Branca,Malaysia;Singapore,Singapore,Asia,0,Is Pedra Branca a territory of A) Malaysia or B) Singapore?,Pedra_Branca_en
Singapore Strait,Malaysia;Singapore,Singapore,Asia,0,Is Singapore Strait a territory of A) Malaysia or B) Singapore?,Singapore_Strait_en
Point 20,Singapore;Malaysia,Singapore,Asia,0,Is Point 20 a territory of A) Singapore or B) Malaysia?,Point_20_en
O'Tangav,Cambodia;Laos,Laos,Asia,0,Is O'Tangav a territory of A) Cambodia or B) Laos?,O'Tangav_en
Stung Treng Province,Laos;Cambodia,Laos,Asia,165713,Is Stung Treng Province a territory of A) Laos or B) Cambodia?,Stung_Treng_Province_en
Preah Vihear Temple,Thailand;Cambodia,Thailand,Asia,0,Is Preah Vihear Temple a territory of A) Thailand or B) Cambodia?,Preah_Vihear_Temple_en
Khao Phra Wihan,Cambodia;Thailand,Thailand,Asia,0,Is Khao Phra Wihan a territory of A) Cambodia or B) Thailand?,Khao_Phra_Wihan_en
Qaruh,Saudi Arabia;Kuwait,Kuwait,Asia,0,Is Qaruh a territory of A) Saudi Arabia or B) Kuwait?,Qaruh_en
Umm al Maradim,Kuwait;Saudi Arabia,Kuwait,Asia,0,Is Umm al Maradim a territory of A) Kuwait or B) Saudi Arabia?,Umm_al_Maradim_en
Sabah,Malaysia;Philippines,Malaysia,Asia,3418785,Is Sabah a territory of A) Malaysia or B) Philippines?,Sabah_en
North Borneo,Philippines;Malaysia,Malaysia,Asia,0,Is North Borneo a territory of A) Philippines or B) Malaysia?,North_Borneo_en
Siachen Glacier,India;Pakistan;Republic of China,Unknown,Outside UN,0,Is Siachen Glacier a territory of A) India or B) Pakistan or C) Republic of China?,Siachen_Glacier_en
Saltoro Ridge,Pakistan;India,Unknown,Asia,0,Is Saltoro Ridge a territory of A) Pakistan or B) India?,Saltoro_Ridge_en
Sir Creek,India;Pakistan,Unknown,Asia,0,Is Sir Creek a territory of A) India or B) Pakistan?,Sir_Creek_en
Three Pagodas Pass,Thailand;Myanmar,Unknown,Asia,0,Is Three Pagodas Pass a territory of A) Thailand or B) Myanmar?,Three_Pagodas_Pass_en
Ukatnyy,Kazakhstan;Russia,Russia,Asia,0,Is Ukatnyy a territory of A) Kazakhstan or B) Russia?,Ukatnyy_en
Zhestky,Russia;Kazakhstan,Russia,Asia,0,Is Zhestky a territory of A) Russia or B) Kazakhstan?,Zhestky_en
Malyy Zhemchuzhnyy,Kazakhstan;Russia,Russia,Asia,0,Is Malyy Zhemchuzhnyy a territory of A) Kazakhstan or B) Russia?,Malyy_Zhemchuzhnyy_en
Ungar-Too,Uzbekistan;Kyrgyzstan,Kyrgyzstan,Asia,0,Is Ungar-Too a territory of A) Uzbekistan or B) Kyrgyzstan?,Ungar-Too_en
Vozrozhdeniya Island,Kazakhstan;Uzbekistan,Unknown,Asia,1500,Is Vozrozhdeniya Island a territory of A) Kazakhstan or B) Uzbekistan?,Vozrozhdeniya_Island_en
Crimea,Russia;Ukraine,Russia,Europe,2416856,Is Crimea a territory of A) Russia or B) Ukraine?,Crimea_en
Sevastopol,Ukraine;Russia,Russia,Europe,547820,Is Sevastopol a territory of A) Ukraine or B) Russia?,Sevastopol_en
Donetsk Oblast,Russia;Ukraine,Unknown,Europe,4059372,Is Donetsk Oblast a territory of A) Russia or B) Ukraine?,Donetsk_Oblast_en
Kherson Oblast,Russia;Ukraine,Unknown,Europe,1001598,Is Kherson Oblast a territory of A) Russia or B) Ukraine?,Kherson_Oblast_en
Luhansk Oblast,Ukraine;Russia,Unknown,Europe,2102921,Is Luhansk Oblast a territory of A) Ukraine or B) Russia?,Luhansk_Oblast_en
Zaporizhzhia Oblast,Russia;Ukraine,Unknown,Europe,1638462,Is Zaporizhzhia Oblast a territory of A) Russia or B) Ukraine?,Zaporizhzhia_Oblast_en
Kinburn Peninsula,Russia;Ukraine,Unknown,Europe,1450,Is Kinburn Peninsula a territory of A) Russia or B) Ukraine?,Kinburn_Peninsula_en
Mykolaiv Oblast,Ukraine;Russia,Unknown,Europe,1091821,Is Mykolaiv Oblast a territory of A) Ukraine or B) Russia?,Mykolaiv_Oblast_en
Snihurivka,Ukraine;Russia,Unknown,Europe,12045,Is Snihurivka a territory of A) Ukraine or B) Russia?,Snihurivka_en
Imia/Kardak,Greece;Turkey,Unknown,Europe,0,Is Imia/Kardak a territory of A) Greece or B) Turkey?,Imia/Kardak_en
Mont Blanc summit dispute,France;Italy,Unknown,Europe,0,Is Mont Blanc summit dispute a territory of A) France or B) Italy?,Mont_Blanc_summit_dispute_en
Gibraltar,United Kingdom;Spain,United Kingdom,Europe,34003,Is Gibraltar a territory of A) United Kingdom or B) Spain?,Gibraltar_en
Rockall,Denmark;Iceland;Ireland;United Kingdom,Unknown,Europe,0,Is Rockall a territory of A) Denmark or B) Iceland or C) Ireland or D) United Kingdom?,Rockall_en
Olivenza,Spain;Portugal,Spain,Europe,11986,Is Olivenza a territory of A) Spain or B) Portugal?,Olivenza_en
Vila Real,Portugal;Spain,Spain,Europe,87,Is Vila Real a territory of A) Portugal or B) Spain?,Vila_Real_en
Táliga,Spain;Portugal,Spain,Europe,681,Is Táliga a territory of A) Spain or B) Portugal?,Táliga_en
Island of Šarengrad,Croatia;Serbia,Unknown,Europe,0,Is Island of Šarengrad a territory of A) Croatia or B) Serbia?,Island_of_Šarengrad_en
Island of Vukovar,Croatia;Serbia,Unknown,Europe,0,Is Island of Vukovar a territory of A) Croatia or B) Serbia?,Island_of_Vukovar_en
Sveta Gera,Slovenia;Croatia,Slovenia,Europe,0,Is Sveta Gera a territory of A) Slovenia or B) Croatia?,Sveta_Gera_en
Drina river,Bosnia and Herzegovina;Serbia,Unknown,Europe,0,Is Drina river a territory of A) Bosnia and Herzegovina or B) Serbia?,Drina_river_en
Prevlaka,Montenegro;Croatia,Croatia,Europe,0,Is Prevlaka a territory of A) Montenegro or B) Croatia?,Prevlaka_en
Sastavci,Bosnia and Herzegovina;Serbia,Serbia,Europe,0,Is Sastavci a territory of A) Bosnia and Herzegovina or B) Serbia?,Sastavci_en
Dragonja River,Slovenia;Croatia,Slovenia,Europe,0,Is Dragonja River a territory of A) Slovenia or B) Croatia?,Dragonja_River_en
Matthew Island and Hunter Island,New Caledonia;Vanuatu;France,France,Oceania,0,Is Matthew Island and Hunter Island a territory of A) New Caledonia or B) Vanuatu or C) France?,Matthew_Island_and_Hunter_Island_en
Minerva Reefs,Fiji;Tonga,Tonga,Oceania,0,Is Minerva Reefs a territory of A) Fiji or B) Tonga?,Minerva_Reefs_en
Swains Island,United States;Tokelau,United States,Oceania,0,Is Swains Island a territory of A) United States or B) Tokelau?,Swains_Island_en
Wake Island,Marshall Islands;United States,United States,Oceania,0,Is Wake Island a territory of A) Marshall Islands or B) United States?,Wake_Island_en
Abagaitu Islet,People's Republic of China;Russia;Republic of China,Unknown,Outside UN,0,Is Abagaitu Islet a territory of A) People's Republic of China or B) Russia or C) Republic of China?,Abagaitu_Islet_en
Depsang Plains,Republic of China;India;People's Republic of China,People's Republic of China,Outside UN,0,Is Depsang Plains a territory of A) Republic of China or B) India or C) People's Republic of China?,Depsang_Plains_en
Aksai Chin,India;Republic of China;People's Republic of China,People's Republic of China,Outside UN,0,Is Aksai Chin a territory of A) India or B) Republic of China or C) People's Republic of China?,Aksai_Chin_en
Arunachal Pradesh,India;Republic of China;People's Republic of China,India,Outside UN,1383727,Is Arunachal Pradesh a territory of A) India or B) Republic of China or C) People's Republic of China?,Arunachal_Pradesh_en
Bạch Long Vĩ Island,Vietnam;Republic of China,Vietnam,Outside UN,912,Is Bạch Long Vĩ Island a territory of A) Vietnam or B) Republic of China?,Bạch_Long_Vĩ_Island_en
Baekdu Mountain,North Korea;Republic of China;People's Republic of China;South Korea,Unknown,Outside UN,0,Is Baekdu Mountain a territory of A) North Korea or B) Republic of China or C) People's Republic of China or D) South Korea?,Baekdu_Mountain_en
Beyul Khenpajong,Bhutan;Republic of China;People's Republic of China,Bhutan,Outside UN,0,Is Beyul Khenpajong a territory of A) Bhutan or B) Republic of China or C) People's Republic of China?,Beyul_Khenpajong_en
Menchuma Valley,People's Republic of China;Bhutan;Republic of China,Bhutan,Outside UN,0,Is Menchuma Valley a territory of A) People's Republic of China or B) Bhutan or C) Republic of China?,Menchuma_Valley_en
Chagdzom,Republic of China;People's Republic of China;Bhutan,Bhutan,Outside UN,0,Is Chagdzom a territory of A) Republic of China or B) People's Republic of China or C) Bhutan?,Chagdzom_en
Bhutanese exclaves,Republic of China;Bhutan;People's Republic of China,People's Republic of China,Outside UN,0,Is Bhutanese exclaves a territory of A) Republic of China or B) Bhutan or C) People's Republic of China?,Bhutanese_exclaves_en
Tibet,Bhutan;Republic of China;People's Republic of China,People's Republic of China,Outside UN,3648100,Is Tibet a territory of A) Bhutan or B) Republic of China or C) People's Republic of China?,Tibet_en
Cherkip Gompa,Bhutan;People's Republic of China;Republic of China,People's Republic of China,Outside UN,0,Is Cherkip Gompa a territory of A) Bhutan or B) People's Republic of China or C) Republic of China?,Cherkip_Gompa_en
Dungmar,People's Republic of China;Republic of China;Bhutan,People's Republic of China,Outside UN,0,Is Dungmar a territory of A) People's Republic of China or B) Republic of China or C) Bhutan?,Dungmar_en
Gesur,Bhutan;Republic of China;People's Republic of China,People's Republic of China,Outside UN,0,Is Gesur a territory of A) Bhutan or B) Republic of China or C) People's Republic of China?,Gesur_en
Gezon,Republic of China;Bhutan;People's Republic of China,People's Republic of China,Outside UN,0,Is Gezon a territory of A) Republic of China or B) Bhutan or C) People's Republic of China?,Gezon_en
Itse Gompa,People's Republic of China;Bhutan;Republic of China,People's Republic of China,Outside UN,0,Is Itse Gompa a territory of A) People's Republic of China or B) Bhutan or C) Republic of China?,Itse_Gompa_en
Khochar,People's Republic of China;Republic of China;Bhutan,People's Republic of China,Outside UN,0,Is Khochar a territory of A) People's Republic of China or B) Republic of China or C) Bhutan?,Khochar_en
